trips,time_of_day
16164795,0.0
28411831,0.5
24339084,1.0
20723408,1.5
17803280,2.0
15224497,2.5
12950257,3.0
10850423,3.5
10158741,4.0
7974364,4.5
6263381,5.0
7248389,5.5
10312528,6.0
16236213,6.5
22755153,7.0
28457847,7.5
32687098,8.0
34950878,8.5
36082310,9.0
35822159,9.5
35681951,10.0
35337575,10.5
35952481,11.0
36565918,11.5
39041215,12.0
38804934,12.5
38636128,13.0
38613124,13.5
39764201,14.0
40333826,14.5
40642928,15.0
38850484,15.5
36468520,16.0
33581607,16.5
34901510,17.0
40359686,17.5
44935580,18.0
47529308,18.5
48924231,19.0
48396170,19.5
46593119,20.0
44674559,20.5
44603469,21.0
44019992,21.5
44050669,22.0
42276227,22.5
40466069,23.0
36652913,23.5
16968709,24.0
